CV1	CV2	energy	groups	mobility	Heuristic_Classes	Detected_Classes
0.0114408024221	-0.0388293148697	-142.362317	7	0.00481381658411	Gamma	Class3
-0.132073551496	-0.0334825868187	-137.665978	8	0.00544976046081	Slipped_Gamma	Noise
-0.0745281221203	0.0143930492857	-135.374173	8	0.00382822448511	Gamma	Noise
-0.0679101660082	0.0142669818391	-133.972299	8	0.00209757280278	Gamma	Noise
-0.128089409482	-0.0521743759887	-134.164063	9	0.00359125273026	Herringbone	Noise
-0.00231639285267	-0.0475877284445	-133.846489	9	0.312290292114	Gamma	Class3
-0.126262282019	-0.0497214393518	-133.805781	9	0.280479494023	Herringbone	Noise
-0.011468440878	-0.0469692296424	-133.183719	9	0.329930920788	Gamma	Class3
-0.0116774943383	-0.0420612777763	-133.116263	9	0.266927543008	Gamma	Class3
0.00267227809951	-0.0394922067303	-133.079606	9	0.244941409265	Gamma	Class3
-0.129265219008	-0.0533155149957	-132.969975	9	0.0035000269128	Herringbone	Noise
0.00483519748132	-0.0402074396962	-132.836949	9	0.00303616105257	Gamma	Class3
-0.112514556047	-0.0381555056457	-132.729519	9	0.00413526502555	Herringbone	Noise
-0.00841713877543	-0.0398986057509	-132.603461	9	0.447722092847	Gamma	Class3
-0.00209030383202	-0.0464499303153	-132.259717	9	0.304791754205	Gamma	Class3
-0.00509627458428	-0.0494055388906	-132.014201	9	0.00287077542624	Gamma	Class3
0.00652264290186	-0.0400106385681	-131.818215	9	0.273903328908	Gamma	Class3
-0.112066250322	-0.0421194189729	-131.702951	9	0.00221577229699	Herringbone	Noise
0.00868073133758	-0.0512222280835	-131.620952	9	0.199039023208	Gamma	Class3
0.00944563694866	-0.047087924659	-131.559461	9	0.127716503893	Gamma	Class3
-0.0109285561472	-0.0402371662339	-131.554161	9	0.301131087187	Gamma	Class3
0.00847611766406	-0.0502718327694	-131.391455	9	0.152055877431	Gamma	Class3
0.00688698497947	-0.0496484739292	-131.026174	9	0.127727071024	Gamma	Class3
0.00433939967762	-0.0472618836745	-131.023549	9	0.0427245174999	Gamma	Class3
0.00734097556086	-0.0617649244891	-130.518114	9	0.511885958229	Gamma	Class3
-0.00231735195657	-0.0421965482239	-130.289193	9	0.191191116601	Gamma	Class3
0.0157569491527	-0.0528759695138	-130.176785	9	0.424182488436	Gamma	Class3
0.0401678270853	-0.0449198234682	-130.008421	9	0.00484222137215	Gamma	Noise
0.0170199241677	-0.0600238784114	-129.972522	9	0.816950002269	Gamma	Class3
